20th Day 2017-2018,,,,Bilingual,,SpED,,Free/Reduced Lunch,
Network,School ID,School Name, Total , N ,%, N ,%, N ,%
Network 12,610002,Thomas Hoyne Elementary School, 253 ,,, 29 ,11.5%, 195 ,77.1%
Network 12,610193,William K New Sullivan Elementary School, 512 , 61 ,11.9%, 108 ,21.1%, 452 ,88.3%
Network 13,609808,Alex Haley Elementary Academy, 541 , 3 ,0.6%, 69 ,12.8%, 463 ,85.6%
Network 13,609705,Christian Fenger Academy High School, 251 , 2 ,0.8%, 41 ,16.3%, 230 ,91.6%
Network 13,610004,Countee Cullen Elementary School, 186 , 3 ,1.6%, 19 ,10.2%, 160 ,86.0%
Network 13,610198,Douglas Taylor Elementary School, 444 , 162 ,36.5%, 75 ,16.9%, 398 ,89.6%
Network 13,610188,Dunne Technology Academy, 258 ,,, 29 ,11.2%, 198 ,76.7%
Network 13,610132,Edgar Allan Poe Elementary Classical School, 208 , 1 ,0.5%, 5 ,2.4%, 90 ,43.3%
Network 13,610315,Edward White Elementary Career Academy, 162 ,,, 23 ,14.2%, 132 ,81.5%
Network 13,609917,Fernwood Elementary School, 301 ,,, 41 ,13.6%, 262 ,87.0%
Network 13,609800,Frank I Bennett Elementary School, 308 ,,, 28 ,9.1%, 255 ,82.8%
Network 13,609761,George H Corliss High School, 310 ,,, 86 ,27.7%, 287 ,92.6%
Network 13,610139,George M Pullman Elementary School, 390 , 12 ,3.1%, 43 ,11.0%, 327 ,83.9%
Network 13,609845,George Washington Carver Primary School, 493 ,,, 45 ,9.1%, 432 ,87.6%
Network 13,610219,George Washington Elementary School, 873 , 89 ,10.2%, 83 ,9.5%, 619 ,70.9%
Network 13,609739,George Washington High School," 1,436 ", 184 ,12.8%, 218 ,15.2%," 1,298 ",90.4%
Network 13,609726,Gwendolyn Brooks College Preparatory Academy HS, 961 , 2 ,0.2%, 59 ,6.1%, 692 ,72.0%
Network 13,609856,Henry Clay Elementary School, 618 , 165 ,26.7%, 80 ,12.9%, 513 ,83.0%
Network 13,609848,Ira F Aldridge Elementary School, 199 ,,, 23 ,11.6%, 177 ,88.9%
Network 13,609943,Jesse Owens Elementary Community Academy, 397 , 1 ,0.3%, 56 ,14.1%, 349 ,87.9%
Network 13,610176,John D Shoop Math-Science Technical Academy ES, 430 , 6 ,1.4%, 61 ,14.2%, 378 ,87.9%
Network 13,610054,John L Marsh Elementary School, 751 , 272 ,36.2%, 87 ,11.6%, 644 ,85.8%
Network 13,610225,John Whistler Elementary School, 344 ,,, 66 ,19.2%, 284 ,82.6%
Network 13,610199,Johnnie Colemon Elementary Academy, 251 , 15 ,6.0%, 26 ,10.4%, 193 ,76.9%
Network 13,610368,Langston Hughes Elementary School, 470 , 9 ,1.9%, 120 ,25.5%, 396 ,84.3%
Network 13,610128,Marcus Moziah Garvey Elementary School, 250 ,,, 13 ,5.2%, 212 ,84.8%
Network 13,609935,Matthew Gallistel Elementary Language Academy, 793 , 175 ,22.1%, 114 ,14.4%, 691 ,87.1%
Network 13,610208,Mildred I Lavizzo Elementary School, 357 , 2 ,0.6%, 49 ,13.7%, 316 ,88.5%
Network 13,610086,Mount Vernon Elementary School, 232 ,,, 48 ,20.7%, 201 ,86.6%
Network 13,609811,Orville T Bright Elementary School, 282 , 51 ,18.1%, 65 ,23.1%, 253 ,89.7%
Network 13,609762,Percy L Julian High School, 516 , 1 ,0.2%, 121 ,23.5%, 497 ,96.3%
Network 13,609902,Ralph H Metcalfe Elementary Community Academy, 387 , 2 ,0.5%, 56 ,14.5%, 344 ,88.9%
Network 13,610091,Ronald Brown Elementary Community Academy, 321 ,,, 36 ,11.2%, 290 ,90.3%
Network 13,610586,Southeast Area Elementary School, 518 , 158 ,30.5%, 76 ,14.7%, 426 ,82.2%
Network 13,610295,Thomas J Higgins Elementary Community Academy, 268 , 1 ,0.4%, 32 ,11.9%, 222 ,82.8%
Network 13,609978,Wendell Smith Elementary School, 360 , 1 ,0.3%, 59 ,16.4%, 319 ,88.6%
Network 13,610364,William E B Dubois Elementary School, 235 , 2 ,0.9%, 33 ,14.0%, 209 ,88.9%
AUSL,610339,Amos Alonzo Stagg Elementary School, 416 , 7 ,1.7%, 61 ,14.7%, 360 ,86.5%
AUSL,610106,Brian Piccolo Elementary Specialty School, 598 , 174 ,29.1%, 87 ,14.6%, 538 ,90.0%
AUSL,609883,Charles S Deneen Elementary School, 524 , 2 ,0.4%, 68 ,13.0%, 468 ,89.3%
AUSL,610248,Chicago Academy Elementary School, 602 , 185 ,30.7%, 82 ,13.6%, 411 ,68.3%
AUSL,610340,Chicago Academy High School, 542 , 59 ,10.9%, 110 ,20.3%, 445 ,82.1%
AUSL,610499,Collins Academy High School, 260 , 1 ,0.4%, 59 ,22.7%, 259 ,99.6%
AUSL,609885,Dewey Elementary Academy of Fine Arts, 420 , 13 ,3.1%, 35 ,8.3%, 372 ,88.6%
AUSL,610254,Dvorak Technology Academy, 383 ,,, 48 ,12.5%, 340 ,88.8%
AUSL,610543,Eric Solorio Academy High School," 1,190 ", 159 ,13.4%, 125 ,10.5%," 1,128 ",94.8%
AUSL,609900,George W Curtis Elementary School, 520 , 11 ,2.1%, 61 ,11.7%, 465 ,89.4%
AUSL,610103,Isabelle C O'Keeffe Elementary School, 662 , 2 ,0.3%, 83 ,12.5%, 582 ,87.9%
AUSL,610274,James Weldon Johnson Elementary School, 428 , 3 ,0.7%, 53 ,12.4%, 379 ,88.6%
AUSL,610263,John Foster Dulles Elementary School, 660 , 1 ,0.2%, 71 ,10.8%, 588 ,89.1%
AUSL,609971,John Harvard Elementary School of Excellence, 392 ,,, 57 ,14.5%, 341 ,87.0%
AUSL,610000,Julia Ward Howe Elementary School of Excellence, 481 , 3 ,0.6%, 70 ,14.6%, 434 ,90.2%
AUSL,610036,Leslie Lewis Elementary School, 486 , 76 ,15.6%, 44 ,9.1%, 384 ,79.0%
AUSL,610053,Marquette Elementary School," 1,171 ", 365 ,31.2%, 105 ,9.0%," 1,056 ",90.2%
AUSL,609928,Melville W Fuller Elementary School, 375 , 1 ,0.3%, 49 ,13.1%, 334 ,89.1%
AUSL,610257,Morton School of Excellence, 310 , 8 ,2.6%, 43 ,13.9%, 272 ,87.7%
AUSL,609806,Myra Bradwell Communications Arts & Sciences ES, 489 , 5 ,1.0%, 60 ,12.3%, 444 ,90.8%
AUSL,610231,National Teachers Elementary Academy, 723 , 30 ,4.2%, 64 ,8.9%, 520 ,71.9%
AUSL,610389,Orr Academy High School, 277 , 12 ,4.3%, 61 ,22.0%, 265 ,95.7%
AUSL,610021,Pablo Casals Elementary School, 437 , 78 ,17.9%, 40 ,9.2%, 377 ,86.3%
AUSL,610282,Ronald E McNair Elementary School, 399 , 26 ,6.5%, 90 ,22.6%, 343 ,86.0%
AUSL,610396,Tarkington School of Excellence ES, 997 , 312 ,31.3%, 100 ,10.0%, 860 ,86.3%
AUSL,609991,Theodore Herzl Elementary School, 589 , 3 ,0.5%, 91 ,15.5%, 508 ,86.3%
AUSL,609851,Thomas Chalmers Specialty Elementary School, 377 , 1 ,0.3%, 57 ,15.1%, 330 ,87.5%
AUSL,609955,Walter Q Gresham Elementary School, 325 , 1 ,0.3%, 39 ,12.0%, 292 ,89.9%
AUSL,609727,Wendell Phillips Academy High School, 634 , 4 ,0.6%, 152 ,24.0%, 598 ,94.3%
AUSL,610172,William T Sherman Elementary School, 257 , 6 ,2.3%, 28 ,10.9%, 231 ,89.9%
AUSL,609844,William W Carter Elementary School, 433 ,,, 42 ,9.7%, 393 ,90.8%
ISP,610342,Albert R Sabin Elementary Magnet School, 585 , 104 ,17.8%, 70 ,12.0%, 500 ,85.5%
ISP,610098,Alfred Nobel Elementary School, 775 , 278 ,35.9%, 98 ,12.7%, 702 ,90.6%
ISP,609837,Andrew Carnegie Elementary School, 635 , 2 ,0.3%, 59 ,9.3%, 502 ,79.1%
ISP,609951,Ariel Elementary Community Academy, 523 , 4 ,0.8%, 75 ,14.3%, 401 ,76.7%
ISP,609820,Augustus H Burley Elementary School, 533 , 12 ,2.3%, 67 ,12.6%, 89 ,16.7%
ISP,610563,Back of the Yards IB HS," 1,061 ", 99 ,9.3%, 76 ,7.2%," 1,023 ",96.4%
ISP,609764,Benito Juarez Community Academy High School," 1,734 ", 337 ,19.4%, 280 ,16.2%," 1,656 ",95.5%
ISP,610076,Bernhard Moos Elementary School, 465 , 130 ,28.0%, 61 ,13.1%, 393 ,84.5%
ISP,609821,Burnham Elementary Inclusive Academy, 522 , 5 ,1.0%, 61 ,11.7%, 463 ,88.7%
ISP,610039,Carl von Linne Elementary School, 665 , 213 ,32.0%, 83 ,12.5%, 513 ,77.1%
ISP,610148,Cesar E Chavez Multicultural Academic Center ES, 966 , 449 ,46.5%, 80 ,8.3%, 863 ,89.3%
ISP,610366,Charles H Wacker Elementary School, 298 ,,, 34 ,11.4%, 227 ,76.2%
ISP,609875,Charles R Darwin Elementary School, 518 , 192 ,37.1%, 74 ,14.3%, 401 ,77.4%
ISP,609753,Chicago High School for Agricultural Sciences, 718 , 8 ,1.1%, 132 ,18.4%, 321 ,44.7%
ISP,609899,Christian Ebinger Elementary School, 832 , 52 ,6.3%, 123 ,14.8%, 128 ,15.4%
ISP,609863,Christopher Columbus Elementary School, 284 , 117 ,41.2%, 15 ,5.3%, 213 ,75.0%
ISP,610402,DeVry University Advantage Academy HS, 193 , 1 ,0.5%, 4 ,2.1%, 143 ,74.1%
ISP,610533,Dr Jorge Prieto Math and Science, 999 , 410 ,41.0%, 193 ,19.3%, 890 ,89.1%
ISP,610073,Ellen Mitchell Elementary School, 400 , 57 ,14.3%, 41 ,10.3%, 187 ,46.8%
ISP,609973,Emiliano Zapata Elementary Academy, 773 , 380 ,49.2%, 117 ,15.1%, 686 ,88.8%
ISP,610203,Enrico Tonti Elementary School," 1,048 ", 332 ,31.7%, 92 ,8.8%, 864 ,82.4%
ISP,610541,Federico Garcia Lorca Elementary School, 830 , 376 ,45.3%, 126 ,15.2%, 744 ,89.6%
ISP,610120,Ferdinand Peck Elementary School, 943 , 563 ,59.7%, 78 ,8.3%, 708 ,75.1%
ISP,609939,Frank L Gillespie Elementary School, 494 , 3 ,0.6%, 74 ,15.0%, 424 ,85.8%
ISP,609958,Frank W Gunsaulus Elementary Scholastic Academy, 810 , 274 ,33.8%, 84 ,10.4%, 663 ,81.9%
ISP,609926,Franklin Elementary Fine Arts Center, 372 , 15 ,4.0%, 40 ,10.8%, 155 ,41.7%
ISP,610062,George B McClellan Elementary School, 339 , 57 ,16.8%, 83 ,24.5%, 272 ,80.2%
ISP,610040,Henry D Lloyd Elementary School," 1,097 ", 601 ,54.8%, 135 ,12.3%, 918 ,83.7%
ISP,610390,Hyman G Rickover Naval Academy High School, 553 , 29 ,5.2%, 59 ,10.7%, 491 ,88.8%
ISP,610217,James Ward Elementary School, 584 , 279 ,47.8%, 35 ,6.0%, 445 ,76.2%
ISP,609772,Jane Addams Elementary School, 716 , 243 ,33.9%, 69 ,9.6%, 595 ,83.1%
ISP,609789,John Barry Elementary School, 718 , 344 ,47.9%, 81 ,11.3%, 579 ,80.6%
ISP,609829,John C Burroughs Elementary School, 476 , 178 ,37.4%, 58 ,12.2%, 405 ,85.1%
ISP,610026,John H Kinzie Elementary School, 686 , 108 ,15.7%, 139 ,20.3%, 418 ,60.9%
ISP,610242,Joseph Brennemann Elementary School, 443 , 170 ,38.4%, 94 ,21.2%, 375 ,84.7%
ISP,610520,LaSalle II Magnet Elementary School, 590 , 24 ,4.1%, 74 ,12.5%, 207 ,35.1%
ISP,610024,Lazaro Cardenas Elementary School, 555 , 264 ,47.6%, 73 ,13.2%, 438 ,78.9%
ISP,610298,Lenart Elementary Regional Gifted Center, 284 , 3 ,1.1%, 11 ,3.9%, 85 ,29.9%
ISP,609738,Lincoln Park High School," 2,101 ", 68 ,3.2%, 170 ,8.1%," 1,141 ",54.3%
ISP,609834,Little Village Elementary School, 786 , 395 ,50.3%, 85 ,10.8%, 704 ,89.6%
ISP,609773,Louis A Agassiz Elementary School, 464 , 24 ,5.2%, 76 ,16.4%, 182 ,39.2%
ISP,610117,Louis Pasteur Elementary School, 708 , 288 ,40.7%, 66 ,9.3%, 568 ,80.2%
ISP,610197,Mancel Talcott Elementary School, 500 , 200 ,40.0%, 82 ,16.4%, 381 ,76.2%
ISP,610544,Mariano Azuela Elementary School, 886 , 258 ,29.1%, 81 ,9.1%, 732 ,82.6%
ISP,609780,Marine Leadership Academy at Ames, 864 , 143 ,16.6%, 68 ,7.9%, 831 ,96.2%
ISP,610177,Mark Skinner Elementary School," 1,094 ", 58 ,5.3%, 60 ,5.5%, 255 ,23.3%
ISP,610312,Mary E McDowell Elementary School, 154 , 1 ,0.7%, 12 ,7.8%, 126 ,81.8%
ISP,610082,Mount Greenwood Elementary School," 1,125 ", 7 ,0.6%, 117 ,10.4%, 158 ,14.0%
ISP,609692,Neal F Simeon Career Academy High School," 1,336 ",,, 133 ,10.0%," 1,229 ",92.0%
ISP,610201,Ole A Thorp Elementary Scholastic Academy, 849 , 82 ,9.7%, 106 ,12.5%, 406 ,47.8%
ISP,610386,Peace & Education Coalition HS, 103 , 12 ,11.7%, 18 ,17.5%, 99 ,96.1%
ISP,609842,Rachel Carson Elementary School," 1,094 ", 642 ,58.7%, 82 ,7.5%, 938 ,85.7%
ISP,609903,Richard Edwards Elementary School," 1,544 ", 698 ,45.2%, 170 ,11.0%," 1,254 ",81.2%
ISP,610291,Richard Henry Lee Elementary School, 862 , 212 ,24.6%, 117 ,13.6%, 756 ,87.7%
ISP,609695,Roald Amundsen High School," 1,226 ", 118 ,9.6%, 167 ,13.6%, 999 ,81.5%
ISP,609826,Rosario Castellanos Elementary School, 601 , 171 ,28.5%, 102 ,17.0%, 584 ,97.2%
ISP,609990,South Loop Elementary School, 780 , 70 ,9.0%, 48 ,6.2%, 244 ,31.3%
ISP,609745,Southside Occupational Academy High School, 269 , 27 ,10.0%, 269 ,100.0%, 245 ,91.1%
ISP,610249,Talman Elementary School, 435 , 204 ,46.9%, 78 ,17.9%, 353 ,81.2%
ISP,610504,Velma F Thomas Early Childhood Center, 163 , 82 ,50.3%, 58 ,35.6%, 65 ,39.9%
ISP,609944,Virgil Grissom Elementary School, 353 , 70 ,19.8%, 46 ,13.0%, 206 ,58.4%
